ele,x,y,z,flip
-1574.91003,-19.45077378,56.08493818,1223.55997,1574.91003
-1554.72998,-19.43280747,56.08493818,1243.74002,1554.72998
-1539.25,-19.41484117,56.08493818,1259.22,1539.25
-1533.91003,-19.39687486,56.08493818,1264.55997,1533.91003
-1488.88,-19.37890855,56.08493818,1309.59,1488.88
-1470.78003,-19.36094225,56.08493818,1327.68997,1470.78003
-1463.81006,-19.34297594,56.08493818,1334.65994,1463.81006
-1468.23999,-19.32500964,56.08493818,1330.23001,1468.23999
-1451.35999,-19.30704333,56.08493818,1347.11001,1451.35999
-1444.97998,-19.28907703,56.08493818,1353.49002,1444.97998
-1434.34998,-19.27111072,56.08493818,1364.12002,1434.34998
-1430.94995,-19.25314441,56.08493818,1367.52005,1430.94995
-1427.56006,-19.23517811,56.08493818,1370.90994,1427.56006
-1425.60999,-19.2172118,56.08493818,1372.86001,1425.60999
-1414.70996,-19.1992455,56.08493818,1383.76004,1414.70996
-1412.93994,-19.18127919,56.08493818,1385.53006,1412.93994
-1407.87,-19.16331289,56.08493818,1390.6,1407.87
-1408.51001,-19.14534658,56.08493818,1389.95999,1408.51001
-1399.64001,-19.12738027,56.08493818,1398.82999,1399.64001
-1393.43994,-19.10941397,56.08493818,1405.03006,1393.43994
-1387.64001,-19.09144766,56.08493818,1410.82999,1387.64001
-1383.33997,-19.07348136,56.08493818,1415.13003,1383.33997
-1387.05005,-19.05551505,56.08493818,1411.41995,1387.05005
-1442.44995,-20.76231409,56.07240547,1356.02005,1442.44995
-1443.71997,-20.74434779,56.07240547,1354.75003,1443.71997
-1450.58997,-20.72638148,56.07240547,1347.88003,1450.58997
-1483.13,-20.70841517,56.07240547,1315.34,1483.13
-1486.17004,-20.69044887,56.07240547,1312.29996,1486.17004
-1456.83997,-20.67248256,56.07240547,1341.63003,1456.83997
-1440.05005,-20.65451626,56.07240547,1358.41995,1440.05005
-1441.41003,-20.63654995,56.07240547,1357.05997,1441.41003
-1445.75,-20.61858365,56.07240547,1352.72,1445.75
-1448.82996,-20.60061734,56.07240547,1349.64004,1448.82996
-1449.78003,-20.58265103,56.07240547,1348.68997,1449.78003
-1451.31995,-20.56468473,56.07240547,1347.15005,1451.31995
-1458.29004,-20.54671842,56.07240547,1340.17996,1458.29004
-1470.91003,-20.52875212,56.07240547,1327.55997,1470.91003
-1476.83997,-20.51078581,56.07240547,1321.63003,1476.83997
-1482.54004,-20.49281951,56.07240547,1315.92996,1482.54004
-1484.71997,-20.4748532,56.07240547,1313.75003,1484.71997
-1490.01001,-20.45688689,56.07240547,1308.45999,1490.01001
-1500.06006,-20.43892059,56.07240547,1298.40994,1500.06006
-1505.48999,-20.42095428,56.07240547,1292.98001,1505.48999
-1505.07996,-20.40298798,56.07240547,1293.39004,1505.07996
-1506.80005,-20.38502167,56.07240547,1291.66995,1506.80005
-1512.64001,-20.36705537,56.07240547,1285.82999,1512.64001
-1512.81995,-20.34908906,56.07240547,1285.65005,1512.81995
-1507.47998,-20.33112275,56.07240547,1290.99002,1507.47998
-1499.82996,-20.31315645,56.07240547,1298.64004,1499.82996
-1495.70996,-20.29519014,56.07240547,1302.76004,1495.70996
-1492.05005,-20.27722384,56.07240547,1306.41995,1492.05005
-1490.68994,-20.25925753,56.07240547,1307.78006,1490.68994
-1488.93005,-20.24129123,56.07240547,1309.53995,1488.93005
-1483.40002,-20.22332492,56.07240547,1315.06998,1483.40002
-1476.66003,-20.20535862,56.07240547,1321.80997,1476.66003
-1468.92004,-20.18739231,56.07240547,1329.54996,1468.92004
-1466.30005,-20.169426,56.07240547,1332.16995,1466.30005
-1463.40002,-20.1514597,56.07240547,1335.06998,1463.40002
-1469.82996,-20.13349339,56.07240547,1328.64004,1469.82996
-1470.42004,-20.11552709,56.07240547,1328.04996,1470.42004
-1466.52002,-20.09756078,56.07240547,1331.94998,1466.52002
-1456.02002,-20.07959448,56.07240547,1342.44998,1456.02002
-1457.73999,-20.06162817,56.07240547,1340.73001,1457.73999
-1459.18994,-20.04366186,56.07240547,1339.28006,1459.18994
-1465.17004,-20.02569556,56.07240547,1333.29996,1465.17004
-1464.43994,-20.00772925,56.07240547,1334.03006,1464.43994
-1465.56995,-19.98976295,56.07240547,1332.90005,1465.56995
-1471.85999,-19.97179664,56.07240547,1326.61001,1471.85999
-1471,-19.95383034,56.07240547,1327.47,1471
-1471.72998,-19.93586403,56.07240547,1326.74002,1471.72998
-1477.19995,-19.91789772,56.07240547,1321.27005,1477.19995
-1483.04004,-19.89993142,56.07240547,1315.42996,1483.04004
-1484.54004,-19.88196511,56.07240547,1313.92996,1484.54004
-1489.32996,-19.86399881,56.07240547,1309.14004,1489.32996
-1492.81995,-19.8460325,56.07240547,1305.65005,1492.81995
-1493.22998,-19.8280662,56.07240547,1305.24002,1493.22998
-1496.30005,-19.81009989,56.07240547,1302.16995,1496.30005
-1495.98999,-19.79213358,56.07240547,1302.48001,1495.98999
-1501.37,-19.77416728,56.07240547,1297.1,1501.37
